id_bien;surface_carrez;type_local;surface_reelle;nombre_pieces;surface_terrain;voie;commune_id
0;50.42;Appartement;52;2;;CENTRALE;0
1;48.22;Appartement;48;3;;DU CHATEAU;1
20;30.23;Appartement;30;1;;LES JARDINS DE CHEVRY;1
80;123.16;Maison;118;5;;LA PIECE;1
132;42.92;Appartement;41;2;;DES MORAINES;1
2;130.8;Appartement;130;6;;DU MONT BLANC;2
8;93.23;Maison;96;4;;JEAN DE GINGINS;2
15;88.11;Appartement;88;4;;DU SQUARE DE LAUSANNE;2
86;135.68;Appartement;133;4;;DE LAUSANNE;2
90;46.05;Appartement;46;2;;DES VOIRONS;2
125;51.7;Appartement;42;2;;DES ECOLIERS;2
137;58.62;Appartement;63;2;;DU CONTE DES PERMISSIONS;2
162;67.33;Appartement;63;3;;DU PEUDEX;2
169;96.46;Maison;96;5;;D ARBERE;2
171;90.4;Appartement;90;4;;DU JURA;2
173;50.11;Appartement;35;1;;GRANDE RUE;2
3;109.22;Maison;109;5;;DE L'ABBE JOLIVET;3
10;35.6;Appartement;36;2;;DE POUGNY;3
4;108.65;Appartement;91;4;;BUFFON;4
14;82.6;Appartement;84;4;;TURENNE;4
62;38;Appartement;39;1;;DE LA REPUBLIQUE;4
70;47.65;Appartement;62;3;;LAMARTINE;4
85;75;Appartement;74;4;;DE SAVOIE;4
88;62.38;Appartement;63;3;;DE VOUVRAY;4
89;92.04;Appartement;100;4;;DE VOUVRAY;4
105;81.24;Appartement;83;4;;DE VOUVRAY;4
107;69.66;Appartement;69;3;;GEORGES MARIN;4
110;88.83;Appartement;88;4;;ANTOINE JACQUET;4
117;56.65;Appartement;56;2;;JOLIOT CURIE;4
130;54.7;Appartement;54;2;;COLONEL XAVIER RENDU;4
134;70.15;Appartement;69;3;;BUFFON;4
135;57.23;Appartement;56;2;;PARMENTIER;4
138;61.89;Appartement;60;3;;JOSEPH MARION;4
150;89.2;Appartement;89;5;;DE L AVENIR;4
151;28.8;Appartement;40;1;;TURENNE;4
154;68.92;Appartement;68;3;;GEORGES MARIN;4
164;58.3;Appartement;59;2;;ALBERT CAMUS;4
5;31.65;Appartement;32;2;;JEAN FALCONNIER;5
31;35.86;Appartement;50;3;;DE LA MAIRIE;5
121;53.81;Appartement;53;3;;DES FRERES SERPOLLET;5
6;52.58;Appartement;52;2;;DE GENEVE;6
7;58.71;Appartement;60;2;;DU RECULET;6
9;117;Maison;117;5;;DES CAPUCINES;6
25;84.24;Appartement;83;3;;DU JURA;6
29;131.91;Appartement;133;4;;DES HETRES;6
49;112.3;Appartement;112;5;;DES HAUTAINS;6
55;30.62;Appartement;31;1;;DE CHAMP FUSY;6
56;165.92;Appartement;166;5;;DES PRUNUS;6
76;53.43;Appartement;56;3;;DE GENEVE;6
103;47.6;Appartement;49;2;;GEORGES CHARPAK;6
136;132.16;Appartement;131;5;;JEAN-JACQUES ROUSSEAU;6
141;138.05;Maison;101;5;;DES ECOLES;6
145;52.58;Appartement;58;2;;DES HAUTAINS;6
161;133.24;Appartement;133;4;;PARC JEAN MONNET;6
165;111.06;Appartement;112;5;;DES HAUTAINS;6
177;166.98;Appartement;166;5;;DES PRUNUS;6
11;138.03;Appartement;137;5;;DE VERDUN;7
47;68.11;Appartement;67;2;;AMPERE;7
95;88;Appartement;92;3;;CASTELLION;7
109;64.44;Appartement;64;3;;CHARLES DE GAULLE;7
115;22.2;Appartement;30;1;;DU MURET;7
12;42;Appartement;43;2;;DU COMMERCE;8
13;45.36;Appartement;45;2;;DE PRE BAILLY;9
24;45.54;Appartement;45;1;;DES USINIERS;9
53;164.18;Maison;160;6;;DES VERTES CAMPAGNES;9
60;88.7;Appartement;87;4;;DES ABATTOIRS;9
65;46.12;Appartement;53;3;;DE L EGLISE;9
68;50.33;Appartement;50;2;;DE PRE BAILLY;9
91;34.56;Appartement;34;2;;DE BELLE FERME;9
97;55.4;Appartement;55;3;;DE BELLE FERME;9
119;61.54;Appartement;68;4;;DES USINIERS;9
131;51;Appartement;54;2;;FRANCIS BLANCHARD;9
139;92.45;Appartement;105;3;;DES VERTES CAMPAGNES;9
155;68.45;Appartement;68;3;;DE PRE BAILLY;9
158;77.86;Appartement;77;4;;DE PRE BAILLY;9
174;32.6;Appartement;33;2;;DES TERREAUX;9
16;164.87;Appartement;143;6;;ALEXANDRE BERARD;10
26;68.23;Appartement;68;3;;MARCEL DEMIA;10
34;54.84;Appartement;62;2;;REINE CLOTILDE;10
41;70.1;Maison;68;3;;DE LA COMMUNE 1871;10
61;50.64;Appartement;51;2;;DES FRERES CAUDRON;10
74;54.65;Appartement;55;2;;JEAN MONNET;10
75;81.15;Appartement;81;3;;DE LA BATISSE;10
87;35.59;Appartement;33;2;;DE LA REPUBLIQUE;10
98;74.72;Appartement;79;2;;DES APOTRES;10
143;70.45;Appartement;75;3;;ARISTIDE BRIAND;10
149;92.47;Appartement;92;5;;DU GEN SARRAIL;10
17;42.2;Appartement;42;2;;DES LONGES RAYES;11
64;105.68;Maison;143;6;;CLOS CHAMP VRILLARD;11
114;67.94;Appartement;67;3;;DU MARTINET;11
133;68.08;Appartement;67;3;;DU MARTINET;11
168;42.01;Appartement;42;2;;DE GENEVE;11
172;42.59;Appartement;42;2;;DES LONGES RAYES;11
18;68.11;Appartement;65;3;;GRANDE RUE;12
19;82.59;Appartement;75;3;;DE GEX;13
30;63.58;Appartement;63;3;;DE MEYRIN;13
37;71.08;Appartement;71;3;;DU BIJOU;13
38;97.03;Maison;101;4;;DE LA PLANCHE BRULEE;13
43;133.77;Appartement;120;4;;DE LA PLANCHE BRULEE;13
51;63.45;Appartement;63;3;;DE MEYRIN;13
54;66.95;Appartement;67;3;;DE LA PLANCHE BRULEE;13
77;74.85;Appartement;75;3;;DE VERSOIX;13
93;83.82;Maison;80;4;;VICTOR HUGO;13
96;56.96;Appartement;57;2;;DE VESSY;13
123;63.54;Appartement;63;3;;DE MEYRIN;13
126;114.17;Appartement;115;4;;DE GENEVE;13
128;36.21;Appartement;36;1;;DU PEGAN;13
147;95.66;Appartement;106;5;;DES ALPES;13
153;2.36;Appartement;2;0;;DU JURA;13
160;63.27;Appartement;63;3;;DE MEYRIN;13
21;24.8;Appartement;25;1;;DES CARPIERES;14
59;84.97;Appartement;88;3;;BLANCHE;14
142;45.12;Appartement;30;1;;DU VIEUX BOURG;14
22;52.6;Appartement;52;2;;CHARLES DE GAULLE;15
32;70.09;Appartement;74;3;;GRANDE RUE DE BULLIEZ;15
36;94.09;Maison;88;2;;DE BOURG;15
66;37.63;Appartement;39;2;;DE L EGLISE;15
140;71.29;Appartement;71;3;;PASTEUR;15
175;103.62;Maison;88;4;;DU COTEILLON;15
23;91.69;Appartement;88;3;;SUR LA VIGNETTE;16
27;62.03;Appartement;64;3;;DE CHARIGNIN;17
35;72.75;Appartement;73;4;;STE MARIE;17
58;63.17;Appartement;63;3;;DES SOUPIRS;17
